game_id,ok_n_rows,ok_n_players,ok_role_3_7,ok_winners,ok_consistency,all_ok,n_rows,n_players,winners,mafia_cnt,cit_cnt,winners_mafia,winners_citizens
252089,True,True,True,False,False,False,10,10,10,3,7,3,7
252090,True,True,True,False,False,False,10,10,10,3,7,3,7
252140,True,True,True,False,False,False,10,10,10,3,7,3,7
252141,True,True,True,False,False,False,10,10,10,3,7,3,7
252142,True,True,True,False,False,False,10,10,10,3,7,3,7
252143,True,True,True,False,False,False,10,10,10,3,7,3,7
252144,True,True,True,False,False,False,10,10,10,3,7,3,7
252145,True,True,True,False,False,False,10,10,10,3,7,3,7
252146,True,True,True,False,False,False,10,10,10,3,7,3,7
252147,True,True,True,False,False,False,10,10,10,3,7,3,7
252148,True,True,True,False,False,False,10,10,10,3,7,3,7
252149,True,True,True,False,False,False,10,10,10,3,7,3,7
252250,True,True,True,False,False,False,10,10,10,3,7,3,7
252251,True,True,True,False,False,False,10,10,10,3,7,3,7
252252,True,True,True,False,False,False,10,10,10,3,7,3,7
252253,True,True,True,False,False,False,10,10,10,3,7,3,7
252254,True,True,True,False,False,False,10,10,10,3,7,3,7
252255,True,True,True,False,False,False,10,10,10,3,7,3,7
252256,True,True,True,False,False,False,10,10,10,3,7,3,7
252257,True,True,True,False,False,False,10,10,10,3,7,3,7
252258,True,True,True,False,False,False,10,10,10,3,7,3,7
252259,True,True,True,False,False,False,10,10,10,3,7,3,7
252767,True,True,True,False,False,False,10,10,0,3,7,0,0
252768,True,True,True,False,False,False,10,10,0,3,7,0,0
252775,True,True,True,False,False,False,10,10,0,3,7,0,0
252776,True,True,True,False,False,False,10,10,0,3,7,0,0
252780,True,True,True,False,False,False,10,10,0,3,7,0,0
252782,True,True,True,False,False,False,10,10,0,3,7,0,0
252787,True,True,True,False,False,False,10,10,0,3,7,0,0
252788,True,True,True,False,False,False,10,10,0,3,7,0,0
252792,True,True,True,False,False,False,10,10,0,3,7,0,0
252794,True,True,True,False,False,False,10,10,0,3,7,0,0
252798,True,True,True,False,False,False,10,10,0,3,7,0,0
252800,True,True,True,False,False,False,10,10,0,3,7,0,0
252805,True,True,True,False,False,False,10,10,0,3,7,0,0
252806,True,True,True,False,False,False,10,10,0,3,7,0,0
252808,True,True,True,False,False,False,10,10,0,3,7,0,0
252809,True,True,True,False,False,False,10,10,0,3,7,0,0
